@relation Viento

@attribute moduloVientoMS1 {CALMA,DEBIL,MODERADO,FUERTE,MUY_FUERTE,HURACANADOS}
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,307
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,301
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,SUDOESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,308
DEBIL,OESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,308
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,309
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,307
DEBIL,SUR,DEBIL,SUR,DEBIL,SUDOESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,305
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,307
DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,306
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,307
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
DEBIL,NOROESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,306
DEBIL,NORDESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NORDESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,MODERADO,OESTE,MODERADO,OESTE,DEBIL,SUDOESTE,307
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,310
DEBIL,SUR,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,NOROESTE,CALMA,NOROESTE,CALMA,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,300
CALMA,SUDESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,309
CALMA,SUDOESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,309
DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,309
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,OESTE,306
DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NORDESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,DEBIL,NORDESTE,302
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,OESTE,MODERADO,OESTE,MODERADO,OESTE,DEBIL,OESTE,307
MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
DEBIL,NOROESTE,DEBIL,NOROESTE,CALMA,NORDESTE,CALMA,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,301
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,DEBIL,NORDESTE,303
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,308
DEBIL,NOROESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,306
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,306
CALMA,NOROESTE,CALMA,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
CALMA,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,306
CALMA,SUR,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,OESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,306
DEBIL,ESTE,DEBIL,ESTE,DEBIL,ESTE,CALMA,NOROESTE,DEBIL,NOROESTE,MODERADO,OESTE,DEBIL,NOROESTE,303
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
CALMA,SUR,CALMA,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,300
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,309
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,307
DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,306
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,301
DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,ESTE,DEBIL,ESTE,303
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,OESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,301
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,ESTE,302
DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,300
CALMA,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,300
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
CALMA,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,306
DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,OESTE,306
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,300
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
CALMA,SUR,CALMA,SUDESTE,CALMA,ESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
CALMA,SUDESTE,DEBIL,SUDESTE,DEBIL,SUR,DEBIL,SUDOESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,309
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,306
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,310
DEBIL,NORDESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,300
CALMA,NOROESTE,CALMA,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,OESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,307
DEBIL,NOROESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,MODERADO,NORDESTE,301
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
CALMA,NORDESTE,CALMA,SUDESTE,DEBIL,SUR,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,309
CALMA,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,308
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,CALMA,OESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,302
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
CALMA,NOROESTE,CALMA,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,306
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NORDESTE,300
CALMA,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,308
DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
CALMA,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,NOROESTE,306
DEBIL,ESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,ESTE,DEBIL,ESTE,DEBIL,ESTE,310
CALMA,NORDESTE,CALMA,ESTE,CALMA,SUDESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,300
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,301
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
CALMA,NORDESTE,CALMA,SUDESTE,DEBIL,SUDESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,307
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NORDESTE,302
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,302
DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,307
DEBIL,NORDESTE,DEBIL,NORDESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,301
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NORDESTE,308
DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,300
DEBIL,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,307
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,307
DEBIL,NORDESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NORDESTE,302
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,309
CALMA,NOROESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,NOROESTE,307
MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,NORDESTE,MODERADO,ESTE,MODERADO,ESTE,MODERADO,ESTE,MODERADO,ESTE,310
DEBIL,SUDOESTE,MODERADO,SUDOESTE,MODERADO,SUDOESTE,MODERADO,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,306
DEBIL,SUR,CALMA,SUDOESTE,CALMA,OESTE,CALMA,OESTE,CALMA,NOROESTE,CALMA,OESTE,CALMA,NOROESTE,307
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NORDESTE,301
DEBIL,SUDOESTE,MODERADO,SUDOESTE,MODERADO,SUDOESTE,MODERADO,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,DEBIL,SUDOESTE,306
DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,ESTE,CALMA,NORDESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,308
DEBIL,OESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,308
DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,DEBIL,OESTE,307
CALMA,NORDESTE,DEBIL,SUR,DEBIL,NOROESTE,DEBIL,NOROESTE,DEBIL,NOROESTE,MODERADO,NOROESTE,MODERADO,NOROESTE,300
