@relation 'Estado del cielo'

@attribute cieloMS1 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS1 numeric
@attribute direccionVientoMS1 numeric
@attribute temperaturaMS1 numeric
@attribute cieloMS2 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS2 numeric
@attribute direccionVientoMS2 numeric
@attribute temperaturaMS2 numeric
@attribute cieloMS3 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS3 numeric
@attribute direccionVientoMS3 numeric
@attribute temperaturaMS3 numeric
@attribute cieloMS4 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS4 numeric
@attribute direccionVientoMS4 numeric
@attribute temperaturaMS4 numeric
@attribute cieloMS5 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS5 numeric
@attribute direccionVientoMS5 numeric
@attribute temperaturaMS5 numeric
@attribute cieloMS6 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS6 numeric
@attribute direccionVientoMS6 numeric
@attribute temperaturaMS6 numeric
@attribute cieloMS7 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS7 numeric
@attribute direccionVientoMS7 numeric
@attribute temperaturaMS7 numeric
@attribute cieloMS8 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS8 numeric
@attribute direccionVientoMS8 numeric
@attribute temperaturaMS8 numeric
@attribute cieloMS9 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS9 numeric
@attribute direccionVientoMS9 numeric
@attribute temperaturaMS9 numeric
@attribute cieloMS10 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS10 numeric
@attribute direccionVientoMS10 numeric
@attribute temperaturaMS10 numeric
@attribute cieloMS11 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS11 numeric
@attribute direccionVientoMS11 numeric
@attribute temperaturaMS11 numeric
@attribute cieloMS12 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS12 numeric
@attribute direccionVientoMS12 numeric
@attribute temperaturaMS12 numeric
@attribute cieloMS13 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS13 numeric
@attribute direccionVientoMS13 numeric
@attribute temperaturaMS13 numeric
@attribute cieloMS14 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS14 numeric
@attribute direccionVientoMS14 numeric
@attribute temperaturaMS14 numeric
@attribute cieloMS15 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS15 numeric
@attribute direccionVientoMS15 numeric
@attribute temperaturaMS15 numeric
@attribute cieloMS16 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS16 numeric
@attribute direccionVientoMS16 numeric
@attribute temperaturaMS16 numeric
@attribute cieloMS17 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS17 numeric
@attribute direccionVientoMS17 numeric
@attribute temperaturaMS17 numeric
@attribute cieloMS18 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS18 numeric
@attribute direccionVientoMS18 numeric
@attribute temperaturaMS18 numeric
@attribute cieloMS19 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS19 numeric
@attribute direccionVientoMS19 numeric
@attribute temperaturaMS19 numeric
@attribute cieloMS20 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS20 numeric
@attribute direccionVientoMS20 numeric
@attribute temperaturaMS20 numeric
@attribute cieloMS21 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS21 numeric
@attribute direccionVientoMS21 numeric
@attribute temperaturaMS21 numeric
@attribute cieloMS22 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS22 numeric
@attribute direccionVientoMS22 numeric
@attribute temperaturaMS22 numeric
@attribute cieloMS23 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS23 numeric
@attribute direccionVientoMS23 numeric
@attribute temperaturaMS23 numeric
@attribute cieloMS24 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS24 numeric
@attribute direccionVientoMS24 numeric
@attribute temperaturaMS24 numeric
@attribute cieloMS25 {OVERCAST_AND_SHOWERS,CLOUDY,PARTLY_CLOUDY,SUNNY,WEAK_SHOWERS,HIGH_CLOUDS,DRIZZLE,OVERCAST}
@attribute moduloVientoMS25 numeric
@attribute direccionVientoMS25 numeric
@attribute temperaturaMS25 numeric
@attribute class {105104104,101101101,103101101,104101104,103101104,104103104,106101101,106101103,106101104,103101103,103103104,101101103,103103103,101115103,110104104,105101104,104101103,104103103}

@data
PARTLY_CLOUDY,2.73,112.050003,15,PARTLY_CLOUDY,3.33,97.32,15,PARTLY_CLOUDY,1.78,79.739998,15,PARTLY_CLOUDY,2.56,44.82,16,SUNNY,1.06,331.5,17,SUNNY,4,293.049988,19,SUNNY,7.17,345.730011,22,SUNNY,11.41,344.529999,24,SUNNY,18.59,329.529999,26,SUNNY,25.370001,329.709991,26,SUNNY,27.059999,330.820007,26,SUNNY,27.57,332.359985,26,SUNNY,25.57,332.76001,26,SUNNY,23.860001,333.799988,25,SUNNY,21.85,332.570007,24,SUNNY,18.99,330.790009,22,SUNNY,18.559999,336.769989,20,SUNNY,13.64,343.079987,18,SUNNY,5.33,233.720001,17,SUNNY,5.97,219.479996,16,SUNNY,4.79,217,15,SUNNY,4.98,218.979996,16,SUNNY,4.24,235.479996,16,SUNNY,2.78,228.740005,16,SUNNY,1.76,244.600006,15,104101104
SUNNY,15.43,74.230003,16,SUNNY,13.24,72.980003,15,SUNNY,11.26,76.709999,16,SUNNY,10.1,91.970001,20,SUNNY,7.8,137,22,SUNNY,9.21,163.610001,23,SUNNY,8.72,165.669998,25,SUNNY,11.02,172.210007,26,SUNNY,11,180.759995,27,SUNNY,12.08,194.610001,28,SUNNY,13.23,208.460007,28,SUNNY,12.19,216.800003,29,SUNNY,12.64,231.369995,29,SUNNY,12.09,231.919998,28,SUNNY,11.09,297.269989,27,SUNNY,20.129999,355.109985,24,SUNNY,22.68,6.55,22,SUNNY,24.08,10.99,21,SUNNY,20.68,17.51,20,SUNNY,17.690001,19.67,20,SUNNY,13.77,18.299999,19,SUNNY,11.29,19.25,18,SUNNY,10.19,55.540001,17,SUNNY,12.14,64.839996,16,SUNNY,12.89,65.779999,16,101101101
SUNNY,10.06,338.160004,16,SUNNY,9.12,336.279999,16,SUNNY,7.16,346.230011,16,SUNNY,6.83,0.11,16,SUNNY,9.8,18.48,19,SUNNY,13.14,22.98,21,SUNNY,15.64,23.4,24,SUNNY,16.610001,17.459999,25,SUNNY,16.719999,17.610001,27,SUNNY,18.01,12.06,28,SUNNY,19.440001,0.88,28,SUNNY,19.950001,356.089996,28,SUNNY,20.879999,352.809998,27,SUNNY,20.799999,352.420013,26,SUNNY,18.58,348.119995,24,SUNNY,13.93,339.549988,22,SUNNY,11.59,331.600006,19,SUNNY,8.82,325.600006,18,SUNNY,9.05,332.079987,17,SUNNY,8.3,330.290009,16,SUNNY,8.44,334.359985,16,SUNNY,7.35,337.549988,15,SUNNY,6.97,342.23999,14,SUNNY,7.12,345.380005,14,SUNNY,7.63,344.040009,13,104101104
SUNNY,12.02,8.19,16,SUNNY,13.24,10.43,17,SUNNY,12.53,9.97,17,SUNNY,10.26,23.459999,20,SUNNY,9.92,57.639999,22,SUNNY,8.22,75.620003,24,SUNNY,5.58,83.57,26,SUNNY,2.7,198.279999,28,SUNNY,7.88,237.240005,30,SUNNY,8.63,236.369995,31,SUNNY,11.98,233.929993,31,SUNNY,14.84,239.169998,31,SUNNY,16.24,238.880005,31,SUNNY,19.33,248.449997,30,SUNNY,7.53,266.200012,29,SUNNY,8.2,307.959991,27,SUNNY,5.51,284.730011,24,SUNNY,5.74,270.940002,22,SUNNY,5.77,272.809998,21,SUNNY,4.39,261.350006,20,SUNNY,3.77,259.049988,19,SUNNY,3.06,274.839996,18,SUNNY,5.16,2.94,18,SUNNY,8.18,359.779999,17,SUNNY,10.5,4.41,17,101101101
SUNNY,14.56,355.470001,15,SUNNY,13.79,0.16,15,SUNNY,13.39,3.34,15,SUNNY,13.07,6.38,17,SUNNY,14.14,9.57,20,SUNNY,15.63,18.33,22,SUNNY,16.83,20.219999,24,SUNNY,16.92,19.83,26,SUNNY,17.43,16.26,27,SUNNY,18.32,15.56,28,SUNNY,19.41,13.11,28,SUNNY,19.93,9.59,28,SUNNY,21.309999,8.49,27,SUNNY,21.9,6.96,26,SUNNY,19.4,3.27,24,SUNNY,15.89,339.959991,22,SUNNY,11.62,346.730011,19,SUNNY,10.06,334.01001,18,SUNNY,9.33,324.970001,17,SUNNY,9.92,332.480011,17,SUNNY,9.62,340.890015,16,SUNNY,11.78,344.209991,16,SUNNY,11.77,346.910004,16,SUNNY,11.34,348.109985,15,SUNNY,11.2,349.390015,15,104101104
CLOUDY,8.72,12.3,16,CLOUDY,9.85,10.86,15,CLOUDY,9.79,16.5,15,CLOUDY,9.32,15.56,15,CLOUDY,9.83,22.34,16,CLOUDY,11.36,25.969999,17,PARTLY_CLOUDY,11.65,25.42,19,PARTLY_CLOUDY,16.15,34.709999,22,PARTLY_CLOUDY,17.51,36.59,22,SUNNY,18.030001,35.419998,23,SUNNY,19.219999,32.369999,23,SUNNY,19.48,29.950001,22,SUNNY,19.33,27.84,22,PARTLY_CLOUDY,18.6,24.299999,21,PARTLY_CLOUDY,18.049999,23.41,19,PARTLY_CLOUDY,15.87,20.07,18,PARTLY_CLOUDY,12.48,11.3,16,PARTLY_CLOUDY,13.28,9.59,16,CLOUDY,13.1,15.93,16,CLOUDY,12.65,13.56,16,CLOUDY,13.61,12.54,16,CLOUDY,12.69,14.53,16,CLOUDY,12.09,9.66,16,CLOUDY,10.58,8.83,16,CLOUDY,9.57,17.370001,15,105104104
CLOUDY,9.79,14.18,15,PARTLY_CLOUDY,11.08,16.139999,15,CLOUDY,10.2,14.15,16,PARTLY_CLOUDY,10.15,24.610001,16,PARTLY_CLOUDY,10.12,31.950001,17,PARTLY_CLOUDY,10.31,45.490002,18,PARTLY_CLOUDY,13.91,34.52,20,PARTLY_CLOUDY,18.07,34.66,21,PARTLY_CLOUDY,18.25,36.279999,22,SUNNY,18.879999,34.68,22,SUNNY,19.690001,30.780001,22,SUNNY,19.41,30.440001,21,PARTLY_CLOUDY,18.790001,30.48,21,PARTLY_CLOUDY,18.15,28.110001,20,PARTLY_CLOUDY,16.99,29.889999,19,PARTLY_CLOUDY,14.68,27.040001,17,PARTLY_CLOUDY,11.07,15.83,16,PARTLY_CLOUDY,11.69,19.709999,16,CLOUDY,10.05,23.620001,16,PARTLY_CLOUDY,9.62,23.700001,16,PARTLY_CLOUDY,9.89,28.25,16,PARTLY_CLOUDY,10.14,32.279999,16,PARTLY_CLOUDY,9.75,17.690001,16,CLOUDY,10.03,17.790001,16,CLOUDY,7.01,15.31,16,105104104
CLOUDY,13.35,43.150002,15,CLOUDY,11.57,42.34,15,CLOUDY,10.56,48.650002,14,CLOUDY,10.81,45.549999,14,CLOUDY,11.14,46.869999,15,PARTLY_CLOUDY,11.22,45.189999,16,SUNNY,13.97,49.040001,19,SUNNY,15.13,45.450001,22,SUNNY,16.209999,41.610001,24,SUNNY,16.23,37.799999,25,SUNNY,16.049999,38.889999,26,SUNNY,17.049999,44.52,26,SUNNY,18.6,43.82,25,SUNNY,19.790001,44.540001,24,SUNNY,20.02,45.439999,22,SUNNY,17.379999,41.740002,20,SUNNY,15.22,36.240002,18,PARTLY_CLOUDY,12.92,38.310001,16,PARTLY_CLOUDY,13.62,43.610001,15,CLOUDY,13.65,44.650002,15,CLOUDY,13.43,42.939999,15,CLOUDY,13.36,46.990002,15,CLOUDY,10.66,40.509998,15,CLOUDY,10.63,42.919998,15,CLOUDY,10.3,42.25,15,103101104
SUNNY,4.85,37.779999,13,SUNNY,5.76,42.700001,13,SUNNY,6.33,72.160004,13,PARTLY_CLOUDY,7.56,61.439999,15,SUNNY,8.74,43.040001,17,SUNNY,9.75,25.389999,20,SUNNY,7.91,23.6,23,SUNNY,7.29,16.790001,26,SUNNY,6.33,15.48,28,SUNNY,5.42,3.94,30,SUNNY,4.9,358.279999,31,SUNNY,2.2,333.880005,32,SUNNY,3.55,157.539993,32,SUNNY,2.13,353.75,32,SUNNY,15.35,346.75,28,SUNNY,12.58,350.01001,26,SUNNY,13.31,346.209991,23,SUNNY,12.36,345.579987,22,SUNNY,10.56,339.619995,21,SUNNY,5.28,341.059998,19,SUNNY,1.34,38.439999,18,SUNNY,3.2,48.310001,17,SUNNY,3.03,50.880001,17,SUNNY,3.19,59.25,16,SUNNY,4.08,42.349998,15,101101101
PARTLY_CLOUDY,4.44,119.339996,12,PARTLY_CLOUDY,5.59,116.110001,12,SUNNY,4.07,111.349998,13,SUNNY,3.37,74.919998,17,SUNNY,2.79,307.820007,20,SUNNY,5.07,285.109985,22,SUNNY,5.41,253.509995,24,SUNNY,8.81,273,26,SUNNY,9.64,306.579987,28,SUNNY,11.87,321.839996,29,SUNNY,13.06,325.200012,30,SUNNY,13.08,330.690002,30,SUNNY,13.1,332.459991,30,SUNNY,14.35,352.01001,30,SUNNY,20.57,11.94,27,SUNNY,23.389999,24.5,25,SUNNY,28.49,30.190001,22,SUNNY,29.940001,34.950001,21,SUNNY,25.780001,40.580002,21,SUNNY,10.86,42.150002,19,SUNNY,3.19,68.050003,17,SUNNY,4.75,63.84,16,SUNNY,2.26,82.559998,15,SUNNY,2.24,89.730003,15,SUNNY,3.07,65.160004,14,101101101
PARTLY_CLOUDY,9.05,77.540001,16,CLOUDY,11.96,122.019997,16,CLOUDY,12.3,145.119995,16,PARTLY_CLOUDY,10.32,159,16,PARTLY_CLOUDY,10,183.970001,16,PARTLY_CLOUDY,7.28,242.429993,17,SUNNY,5.91,329.190002,19,SUNNY,15.81,10.16,21,SUNNY,25,358.519989,21,SUNNY,25.58,0.12,21,SUNNY,26.540001,0.43,21,SUNNY,26.290001,2.81,21,SUNNY,25.49,2.25,21,SUNNY,22.459999,1.32,21,SUNNY,19.74,7.49,21,SUNNY,16.030001,3.69,20,SUNNY,20.92,13.6,19,SUNNY,21.040001,19.67,19,SUNNY,21.84,20.129999,18,SUNNY,22.15,21,17,SUNNY,18.190001,27.84,17,SUNNY,13.13,37.700001,16,SUNNY,5.37,93.760002,16,SUNNY,7.29,146.110001,16,SUNNY,2.76,141.320007,16,104101104
SUNNY,3.47,265.420013,13,SUNNY,4.04,281.790009,13,SUNNY,3.81,284.929993,13,SUNNY,4.26,284.589996,18,SUNNY,7.03,311.779999,19,SUNNY,9.74,313.730011,20,SUNNY,11.34,316.079987,21,SUNNY,13.89,310.01001,22,SUNNY,11.41,307.209991,22,SUNNY,11.76,306.26001,23,SUNNY,12.38,302.570007,23,SUNNY,11.43,288.160004,23,SUNNY,11.76,280.149994,23,SUNNY,11.78,276.450012,23,SUNNY,9.2,267.75,23,SUNNY,10.36,261.140015,22,SUNNY,3.11,260.059998,21,SUNNY,2.92,189.509995,20,SUNNY,4.36,137.190002,20,SUNNY,2.82,285.839996,18,SUNNY,5.57,313.940002,17,SUNNY,4.69,299.820007,16,SUNNY,5.58,307.48999,16,SUNNY,5.36,300.799988,15,SUNNY,4.91,285.690002,15,101101101
PARTLY_CLOUDY,3.3,19.450001,14,PARTLY_CLOUDY,2.8,29.690001,14,PARTLY_CLOUDY,3.6,23.15,14,PARTLY_CLOUDY,2.47,10.44,15,PARTLY_CLOUDY,1.2,340.399994,17,SUNNY,7.89,21.719999,20,SUNNY,5.9,29.629999,23,SUNNY,6.32,11.99,26,SUNNY,6.6,5,28,SUNNY,5.87,6.1,30,SUNNY,6.08,0.31,31,SUNNY,6.06,354.940002,31,SUNNY,5.13,354.25,32,SUNNY,2.93,298.5,31,SUNNY,7.53,36.450001,29,SUNNY,10.94,8.96,26,SUNNY,7.33,7.59,23,SUNNY,5.67,8.57,21,SUNNY,4.82,1.66,19,SUNNY,5.41,5.12,18,SUNNY,1.58,349.589996,17,SUNNY,2.11,325.119995,16,SUNNY,2.31,322.920013,16,SUNNY,3.14,358.109985,15,SUNNY,3.89,8.73,14,101101101
SUNNY,0.31,148.509995,15,SUNNY,1.24,267.679993,14,SUNNY,3.06,279.390015,15,SUNNY,4.74,277.140015,19,SUNNY,1.03,325.399994,22,SUNNY,0.78,316.579987,25,SUNNY,1.85,340.589996,26,SUNNY,4.91,346.649994,29,SUNNY,9.36,340.899994,30,SUNNY,12.24,332.75,31,SUNNY,13.15,329.559998,32,SUNNY,15.85,327.140015,32,SUNNY,17.540001,320.450012,32,SUNNY,21.57,314.209991,31,SUNNY,21.26,307.940002,29,SUNNY,18.440001,283.220001,27,SUNNY,17.370001,265.589996,24,SUNNY,13.99,258.359985,23,SUNNY,1.59,286.959991,21,SUNNY,4.49,47.849998,20,SUNNY,2.54,82.620003,19,SUNNY,3.6,346.359985,18,SUNNY,0.84,321.059998,17,SUNNY,3.14,219.029999,16,SUNNY,1.02,202.020004,16,101101101
SUNNY,6.18,22.469999,13,SUNNY,5.46,23.1,12,SUNNY,4.34,22.040001,13,SUNNY,1.73,49.259998,16,SUNNY,5.49,81.5,19,SUNNY,6.08,84.330002,22,SUNNY,6.08,95.660004,24,SUNNY,4.49,103.050003,27,SUNNY,3.36,112.959999,28,SUNNY,2.61,129.110001,30,SUNNY,2.7,139.380005,31,SUNNY,2.52,129.240005,31,SUNNY,6.63,43.889999,31,SUNNY,16.98,28.700001,29,SUNNY,16.190001,28.01,28,SUNNY,13.9,18.01,25,SUNNY,22.440001,19.389999,22,SUNNY,18.48,23.23,21,SUNNY,8.85,23.219999,19,SUNNY,6.02,20.450001,18,SUNNY,5.09,12.29,17,SUNNY,4.9,16.85,16,SUNNY,4.65,12.67,15,SUNNY,5.65,16.709999,15,SUNNY,8.03,12.53,15,101101101
PARTLY_CLOUDY,2.44,121.709999,15,CLOUDY,4.63,132.639999,15,CLOUDY,3.79,163.850006,15,CLOUDY,3.14,196.419998,16,PARTLY_CLOUDY,3.99,263.690002,17,PARTLY_CLOUDY,11.15,280.880005,20,SUNNY,10.38,311.459991,24,SUNNY,21.93,14.3,26,SUNNY,23.9,13.6,27,SUNNY,25.35,13.18,27,SUNNY,26.08,14.84,27,SUNNY,24.690001,16.85,27,SUNNY,23.51,17.82,27,SUNNY,22.299999,20.639999,26,SUNNY,19.77,20.74,25,SUNNY,14.93,2.71,23,SUNNY,11.25,9.89,20,SUNNY,6.36,9.04,18,SUNNY,6.48,355.140015,17,SUNNY,4.23,22.299999,16,SUNNY,3,144.850006,15,SUNNY,4.63,232.410004,14,SUNNY,1.87,184.529999,15,SUNNY,1.25,131.679993,15,SUNNY,0.82,113.040001,15,104101104
SUNNY,10.24,345.350006,16,SUNNY,11.09,346.880005,16,SUNNY,13.83,351.869995,17,SUNNY,12.62,350.700012,18,SUNNY,11.94,356.769989,20,SUNNY,15.86,5.93,22,SUNNY,17.49,11.11,25,SUNNY,18.9,8.7,27,SUNNY,19.200001,8.36,28,SUNNY,18.59,6.39,29,SUNNY,18.870001,7.15,30,SUNNY,20.129999,7.83,30,SUNNY,20.700001,8.54,29,SUNNY,21.67,10.6,28,SUNNY,22.25,12.69,26,SUNNY,21.799999,15.79,23,SUNNY,18.67,17.73,21,SUNNY,12.86,22.84,20,SUNNY,3.88,9.77,19,SUNNY,5.28,12.07,17,SUNNY,2.99,303.170013,17,SUNNY,4.5,312.660004,16,SUNNY,5.91,331.600006,15,SUNNY,4.89,331.440002,15,SUNNY,3.77,334.959991,14,103101101
SUNNY,0.97,49.540001,13,SUNNY,0.41,293.769989,13,SUNNY,0.76,258.670013,13,SUNNY,2.01,264.209991,16,SUNNY,1.28,249.419998,19,SUNNY,1.12,45.610001,22,SUNNY,1.65,110.019997,24,SUNNY,1.79,113.910004,27,SUNNY,1.89,63.34,29,SUNNY,1.96,87.669998,31,SUNNY,2.2,78.690002,31,SUNNY,2.58,67.209999,32,SUNNY,7.7,0.46,32,SUNNY,24.74,351.01001,30,SUNNY,20,353.720001,27,SUNNY,13.9,341.480011,25,SUNNY,9.96,328.869995,23,SUNNY,5.3,299.119995,21,SUNNY,6.82,284.940002,20,SUNNY,8.22,296.980011,19,SUNNY,8.16,309.119995,18,SUNNY,6.13,313,17,SUNNY,3.25,315.220001,16,SUNNY,0.27,44.040001,15,SUNNY,0.24,54.709999,15,101101101
SUNNY,6.16,36.619999,15,SUNNY,5.03,40.099998,15,SUNNY,4.61,31.370001,15,SUNNY,10.38,42.400002,18,SUNNY,14.62,47.709999,20,SUNNY,13.54,52.279999,22,SUNNY,13.19,56.209999,24,SUNNY,12.78,59.34,25,SUNNY,12.92,60.869999,27,SUNNY,10.77,69.610001,28,SUNNY,5.73,81.309998,29,SUNNY,7.86,34.029999,30,SUNNY,9.05,6.94,30,SUNNY,14.04,32.540001,29,SUNNY,16.209999,38.400002,26,SUNNY,14.75,38.27,24,SUNNY,16.57,42.169998,22,SUNNY,18.120001,43.349998,20,SUNNY,16.629999,42.380001,20,SUNNY,18.5,40.919998,20,SUNNY,17.040001,41.330002,19,SUNNY,14.82,42.459999,19,SUNNY,11.59,44.07,18,SUNNY,11.41,48.689999,18,SUNNY,11.05,48.139999,17,103101101
SUNNY,1.61,88.019997,14,SUNNY,2.41,23.309999,13,SUNNY,2.48,10.26,14,SUNNY,4.88,3.14,18,SUNNY,6.65,34.919998,20,SUNNY,6.43,53.75,22,SUNNY,5.53,62.310001,24,SUNNY,5.9,36.970001,26,SUNNY,9.72,356.600006,28,SUNNY,13.11,334.339996,29,SUNNY,14.18,323.350006,29,SUNNY,14.98,318.109985,29,SUNNY,16.67,309.700012,28,SUNNY,19.450001,315.549988,28,SUNNY,18.48,313.920013,26,SUNNY,17.82,292.709991,24,SUNNY,19.01,270.75,21,SUNNY,19.889999,252.690002,20,SUNNY,15.57,240.160004,20,SUNNY,6.39,225.970001,18,SUNNY,2.28,213.419998,17,SUNNY,0.58,171.309998,16,SUNNY,0.37,161.259995,16,SUNNY,0.78,179.679993,15,SUNNY,1.48,178.029999,15,101101101
PARTLY_CLOUDY,0.87,30.290001,16,PARTLY_CLOUDY,2.69,98.080002,15,PARTLY_CLOUDY,3.73,76.699997,15,PARTLY_CLOUDY,3.07,57.669998,16,PARTLY_CLOUDY,1.58,164.139999,17,PARTLY_CLOUDY,2.11,357.899994,20,SUNNY,9.64,348.779999,22,SUNNY,13.01,343.359985,24,SUNNY,22.58,333.690002,26,SUNNY,26.73,335.279999,26,SUNNY,27.98,336.779999,26,SUNNY,28.34,337.899994,26,SUNNY,26.48,338.779999,25,SUNNY,24.83,340.640015,24,SUNNY,23.110001,341.420013,24,SUNNY,21.09,338.320007,22,SUNNY,20.68,343.170013,20,SUNNY,18.67,347.609985,19,SUNNY,9.04,10.97,17,SUNNY,0.94,172.169998,16,SUNNY,3.6,201.130005,15,SUNNY,3.98,216.710007,16,SUNNY,4.95,231.889999,16,SUNNY,3.22,222.339996,15,SUNNY,2.83,228.669998,15,104101104
PARTLY_CLOUDY,20.469999,67.830002,13,PARTLY_CLOUDY,21.9,66.190002,13,PARTLY_CLOUDY,22.76,65.040001,14,PARTLY_CLOUDY,22.66,62.93,14,SUNNY,21.799999,63.68,16,SUNNY,21.219999,62.34,18,SUNNY,22.16,60.16,19,SUNNY,21.530001,57.330002,20,SUNNY,19.98,59.040001,22,SUNNY,18.780001,54.060001,22,SUNNY,19.84,48.380001,23,SUNNY,21.83,47.09,22,SUNNY,21.9,49.529999,22,SUNNY,22.559999,51.07,21,SUNNY,22.459999,57.18,19,SUNNY,20.709999,59.830002,17,SUNNY,22.690001,62.09,15,SUNNY,25,64.07,15,SUNNY,25.34,67.010002,15,SUNNY,23.41,67.620003,15,SUNNY,22.559999,71.18,15,SUNNY,20.629999,77.900002,15,SUNNY,19.049999,78.980003,15,SUNNY,18.5,78.290001,15,SUNNY,18.700001,73.690002,15,105104104
SUNNY,2.1,326.25,15,SUNNY,0.5,285,15,SUNNY,2.13,69.339996,16,SUNNY,3.45,350.029999,19,SUNNY,4.81,330.76001,22,SUNNY,0.9,273.890015,25,SUNNY,3.42,189.720001,26,SUNNY,5.2,187.369995,28,SUNNY,4.04,187.179993,30,SUNNY,3.77,188.039993,31,SUNNY,2.38,183.550003,32,SUNNY,1.23,132.720001,33,SUNNY,2.46,36.619999,33,SUNNY,7.28,339.899994,32,SUNNY,10.71,306.299988,30,SUNNY,12.43,310.709991,27,SUNNY,16,312.799988,24,SUNNY,9.91,315.299988,23,SUNNY,5.44,320.019989,21,SUNNY,4.21,321.630005,20,SUNNY,3.17,342.869995,19,SUNNY,3.42,352.390015,18,SUNNY,2.09,1.33,18,SUNNY,2.73,44.369999,17,SUNNY,3.53,36.540001,17,101101101
